simulation_id,tick,day,event_id,strength,reality,disinformers,converted_disinformers,interactions,ingroup_interactions,outgroup_interactions,new_conversions,trust_change,trust_delta_mean,trust_delta_min,trust_delta_max,effectiveness_score,interaction_efficiency
experiment_001,0,1,0,0.69,0.47,275,0,2841,2149,692,0,-0.0005697742693545615,-0.0005697742693544711,-0.06350163329398278,0.0,0.0,2.0055412508080307e-07
experiment_001,0,1,1,0.6,0.36,289,0,2831,2129,702,0,-0.00041983649620880303,-0.000419836496208835,-0.035380900834010194,0.0,0.0,1.4829971607516885e-07
experiment_001,0,1,2,0.87,0.34,111,0,1026,769,257,0,-0.0002696504731549698,-0.00026965047315511244,-0.0497697693140016,0.0,0.0,2.6281722529724156e-07
experiment_001,0,1,3,0.48,0.32,105,0,1002,756,246,0,-0.0001266142603491005,-0.00012661426034891955,-0.03879579246328911,0.0,0.0,1.263615372745514e-07
experiment_001,0,1,4,0.57,0.28,299,0,2766,2071,695,0,-0.0004031436595047788,-0.00040314365950479015,-0.037951887237395364,0.0,0.0,1.4574969613332569e-07
experiment_001,0,1,5,0.78,0.4,198,0,1978,1498,480,0,-0.00043999810954165053,-0.00043999810954167736,-0.06571776712628,0.0,0.0,2.2244596033450482e-07
experiment_001,0,1,6,0.71,0.5,267,0,2577,1943,634,0,-0.0005118473271539248,-0.0005118473271539134,-0.06106093128281183,0.0,0.0,1.9862139198832938e-07
experiment_001,0,1,7,0.66,0.22,320,0,3066,2313,753,0,-0.0005210957701676788,-0.0005210957701676953,-0.044375447627155215,0.0,0.0,1.6995948146369171e-07
experiment_001,0,1,8,0.59,0.35,190,0,1914,1450,464,0,-0.00031395911371234764,-0.0003139591137123126,-0.03064152900011327,0.0,0.0,1.640329747713415e-07
experiment_001,0,1,9,0.74,0.44,308,0,3016,2274,742,0,-0.0006264323952954731,-0.0006264323952954212,-0.06646133561250711,0.0,0.0,2.0770304883802158e-07
experiment_001,0,1,10,0.61,0.29,263,0,2578,1941,637,0,-0.0003973487052703062,-0.0003973487052703922,-0.05164910184993317,0.0,0.0,1.5413060716458734e-07
experiment_001,0,1,11,0.5,0.42,173,0,1615,1211,404,0,-0.00019627130477850585,-0.000196271304778473,-0.03414222199078755,0.0,0.0,1.215302196770934e-07
experiment_001,0,1,12,0.68,0.38,252,0,2410,1808,602,0,-0.0004407837032359696,-0.00044078370323592266,-0.048504064638741316,0.0,0.0,1.828978021726015e-07
experiment_001,0,1,13,0.76,0.25,243,0,2352,1774,578,0,-0.0004886671147870114,-0.0004886671147870947,-0.052684366669214874,0.0,0.0,2.077666304366545e-07
experiment_001,0,1,14,0.45,0.19,337,0,3343,2524,819,0,-0.00036475717765549476,-0.0003647571776554664,-0.04089060153095931,0.0,0.0,1.0911073217334573e-07
experiment_001,1,2,0,0.69,0.47,275,0,2535,1899,636,0,-0.0004640592938583987,-0.0004640592938583344,-0.056187381368015626,0.0,0.0,1.8306086542737623e-07
experiment_001,1,2,1,0.6,0.36,289,0,2815,2128,687,0,-0.00044206074274666385,-0.0004420607427467077,-0.04810145757339343,0.0,0.0,1.5703756403078646e-07
experiment_001,1,2,2,0.87,0.34,111,0,1187,900,287,0,-0.0003080121852067075,-0.00030801218520677155,-0.056758712371044795,0.0,0.0,2.5948794035948395e-07
experiment_001,1,2,3,0.48,0.32,105,0,1060,801,259,0,-0.00010701875357577162,-0.00010701875357569438,-0.02442097459377452,0.0,0.0,1.0096108827902983e-07
experiment_001,1,2,4,0.57,0.28,299,0,2926,2210,716,0,-0.0004444289622070885,-0.0004444289622071131,-0.04625457690996672,0.0,0.0,1.518895974733727e-07
experiment_001,1,2,5,0.78,0.4,198,0,1921,1445,476,0,-0.00040706525430800333,-0.0004070652543081088,-0.05047369932684895,0.0,0.0,2.1190278725039216e-07
experiment_001,1,2,6,0.71,0.5,267,0,2661,2021,640,0,-0.0005483199548221851,-0.0005483199548221065,-0.04439879580909025,0.0,0.0,2.0605785600232435e-07
experiment_001,1,2,7,0.66,0.22,320,0,3276,2476,800,0,-0.0005842926150474437,-0.0005842926150474457,-0.04903520214407241,0.0,0.0,1.783554990987313e-07
experiment_001,1,2,8,0.59,0.35,190,0,1949,1480,469,0,-0.0003029877725556629,-0.0003029877725556669,-0.032147650483970724,0.0,0.0,1.554580669859738e-07
experiment_001,1,2,9,0.74,0.44,308,0,3146,2380,766,0,-0.0006535998568042434,-0.0006535998568041874,-0.056443508962428356,0.0,0.0,2.0775583496638378e-07
experiment_001,1,2,10,0.61,0.29,263,0,2596,1965,631,0,-0.00043469195813417016,-0.00043469195813416827,-0.04589663065161369,0.0,0.0,1.6744682516724584e-07
experiment_001,1,2,11,0.5,0.42,173,0,1685,1268,417,0,-0.00021384099592869354,-0.00021384099592878562,-0.027790845760553844,0.0,0.0,1.2690860292504069e-07
experiment_001,1,2,12,0.68,0.38,252,0,2670,2030,640,0,-0.0005247945285621336,-0.000524794528562122,-0.06637691673639566,0.0,0.0,1.9655225788843955e-07
experiment_001,1,2,13,0.76,0.25,243,0,2418,1823,595,0,-0.0004988713176352633,-0.000498871317635248,-0.05793143299375787,0.0,0.0,2.063156814041618e-07
experiment_001,1,2,14,0.45,0.19,337,0,3255,2456,799,0,-0.00036142732359367713,-0.000361427323593673,-0.0394988128761634,0.0,0.0,1.1103758021311126e-07
experiment_001,2,3,0,0.69,0.47,275,0,2759,2088,671,0,-0.0005567109001402004,-0.0005567109001402,-0.05863679046676159,0.0,0.0,2.017799565567961e-07
experiment_001,2,3,1,0.6,0.36,289,0,2826,2126,700,0,-0.00047450057758036124,-0.00047450057758041176,-0.046932800922175194,0.0,0.0,1.6790537069368762e-07
experiment_001,2,3,2,0.87,0.34,111,0,1162,886,276,0,-0.00030493811965381923,-0.0003049381196537451,-0.048442436478028164,0.0,0.0,2.624252320600854e-07
experiment_001,2,3,3,0.48,0.32,105,0,1003,757,246,0,-0.00010967027427077891,-0.00010967027427088541,-0.022926307086852678,0.0,0.0,1.0934224752819432e-07
experiment_001,2,3,4,0.57,0.28,299,0,2927,2199,728,0,-0.00046799288332532996,-0.0004679928833252802,-0.04192604703225867,0.0,0.0,1.5988824165539117e-07
experiment_001,2,3,5,0.78,0.4,198,0,1889,1423,466,0,-0.0004065293560413519,-0.0004065293560414091,-0.04773972788784944,0.0,0.0,2.152087644475129e-07
experiment_001,2,3,6,0.71,0.5,267,0,2676,2023,653,0,-0.00055686560922108,-0.0005568656092209569,-0.058921131502722324,0.0,0.0,2.0809626652506725e-07
experiment_001,2,3,7,0.66,0.22,320,0,3238,2455,783,0,-0.0005942485743879455,-0.0005942485743880343,-0.061285766836849664,0.0,0.0,1.8352333983568422e-07
experiment_001,2,3,8,0.59,0.35,190,0,1802,1357,445,0,-0.00029079271312781874,-0.0002907927131277795,-0.04469894486896611,0.0,0.0,1.6137220484340664e-07
experiment_001,2,3,9,0.74,0.44,308,0,3137,2382,755,0,-0.0006871566832610254,-0.0006871566832610386,-0.06409652538174779,0.0,0.0,2.190489905199316e-07
experiment_001,2,3,10,0.61,0.29,263,0,2685,2031,654,0,-0.0004553876007435953,-0.00045538760074363514,-0.05202545987541314,0.0,0.0,1.6960432057489583e-07
experiment_001,2,3,11,0.5,0.42,173,0,1778,1351,427,0,-0.0002314389608485401,-0.00023143896084842292,-0.03742737188856714,0.0,0.0,1.301681444592464e-07
experiment_001,2,3,12,0.68,0.38,252,0,2459,1855,604,0,-0.0004649628485557944,-0.0004649628485558395,-0.058832600802121604,0.0,0.0,1.8908615232037187e-07
experiment_001,2,3,13,0.76,0.25,243,0,2388,1803,585,0,-0.0005422268192594171,-0.0005422431286153957,-0.07081546780227421,0.0,0.0,2.270631571438095e-07
experiment_001,2,3,14,0.45,0.19,337,0,3406,2573,833,0,-0.00037498451501294383,-0.00037498451501314235,-0.03453635971776073,0.0,0.0,1.1009527745535638e-07
experiment_001,3,4,0,0.69,0.47,275,0,2686,2025,661,0,-0.0005064581920024569,-0.0005064581920023014,-0.0536901230146248,0.0,0.0,1.8855479970307406e-07
experiment_001,3,4,1,0.6,0.36,289,0,2698,2027,671,0,-0.0004532175410656425,-0.00045321754106567773,-0.05052113782296619,0.0,0.0,1.679827802318912e-07
experiment_001,3,4,2,0.87,0.34,111,0,1049,791,258,0,-0.00028120346837479104,-0.00028120346837472117,-0.05118366963245401,0.0,0.0,2.6806813000456724e-07
experiment_001,3,4,3,0.48,0.32,105,0,1100,832,268,0,-0.00013674410668762516,-0.00013674410668766378,-0.026926608093959536,0.0,0.0,1.243128242614774e-07
experiment_001,3,4,4,0.57,0.28,299,0,2948,2218,730,0,-0.00042163507591730376,-0.00042163507591736355,-0.04502427577646917,0.0,0.0,1.430241098769687e-07
experiment_001,3,4,5,0.78,0.4,198,0,1911,1440,471,0,-0.00042180019180015904,-0.0004218001918002004,-0.057677481326385824,0.0,0.0,2.2072223537423288e-07
experiment_001,3,4,6,0.71,0.5,267,0,2534,1909,625,0,-0.0005183925731333527,-0.0005183925731332836,-0.06512513719704774,0.0,0.0,2.0457481181268853e-07
experiment_001,3,4,7,0.66,0.22,320,0,3094,2331,763,0,-0.0005719958404162284,-0.0005719958404162064,-0.051256064371789714,0.0,0.0,1.8487260517654442e-07
experiment_001,3,4,8,0.59,0.35,190,0,1907,1442,465,0,-0.00029789813891800687,-0.000297898138917947,-0.05397069112817217,0.0,0.0,1.56212972689044e-07
experiment_001,3,4,9,0.74,0.44,308,0,3019,2280,739,0,-0.0006635717014935594,-0.0006635717014936844,-0.06844071653855376,0.0,0.0,2.197985099349319e-07
experiment_001,3,4,10,0.61,0.29,263,0,2581,1952,629,0,-0.0004521072428547157,-0.00045210724285459,-0.04673408751261913,0.0,0.0,1.7516747107892898e-07
experiment_001,3,4,11,0.5,0.42,173,0,1688,1267,421,0,-0.00022742091271077403,-0.00022742091271074738,-0.04451584030057878,0.0,0.0,1.3472802885709362e-07
experiment_001,3,4,12,0.68,0.38,252,0,2514,1901,613,0,-0.0004965015063527201,-0.0004965015063529146,-0.06269040272610436,0.0,0.0,1.9749463259853622e-07
